CustomerID,FirstName,LastName,Gender,Age,Email,PhoneNumber,City,State,Country,ZipCode,RegistrationDate,LastPurchaseDate,TotalOrders,TotalSpend,PreferredPaymentMethod,LoyaltyMember,NewsletterSubscribed,CustomerSegment,FeedbackScore
1000,Victor,Cross,Male,28.0,brownrobin@rice-ward.com,+1-675-541-8286x9387,North Williamburgh,Mississippi@,New Zealand,82344,15-04-2024,2025/07/10,42.0,4216.67,Debit Card,Yes,No,Platinum,2
1001,Christopher,Gonzales,Male,,amy71@elliott.com,611.835.0614x9044,Justinfurt,New Jersey@,Lithuania,24047,05-Feb-2023,2025/04/23,43.0,3071.15,Debit Card,,,Silver,3
1002,Robert,Griffin,,61.0,oscar61@hotmail.com,8723321093339,New Kimberlyview,Utah$,Pakistan,59694,03-May-2023,09-12-2024,30.0,2601.74,Credit Card,Yes,No,Gold,6
1003,Tiffany,Wright,,62.0,jeremy47@@hotmail.com,509.094.9901x965,Brooketon,Nevadaa,Palestinian Territory,71426,2025/08/01,12-02-2025,3.0,3533.83,Bank Transfer,No,Yes,Silver,10
1004,Raymond,Gonzales,Female,20.0,uwilkerson@hurley-brady.com,001-403-040-0845,Yangville,New Jersey,Colombia,82696,12-May-2023,2025/06/15,33.0,4866.7,Credit Card,No,No,Bronze,7
1005,Miguel,Davila,,69.0,gailstafford@thomas.com,643-956-0109x767,Marissaborough,South Carolina,Niger,80355,16-03-2022,2025/01/06,,3346.23,PayPal,,,Bronze,6
1006,Jessica,Elliott,,37.0,ncoleman@@carlson-knox.com,(006)856-0673,Lake Suzanne,Oklahoma$,Uzbekistan,78940,30-09-2024,03/08/2025,18.0,105.09,Credit Card,,,Silver,4
1007,Jeffrey,Chavez,Male,,amber08@small.com,+1-731-848-8153x433,Lake Bethanyhaven,West Virginia,Myanmar,13219,16-10-2021,2025/01/23,4.0,576.52,Debit Card,Yes,,Gold,8
1008,Thomas,Lyons,,,clarencefrank@hotmail.com,4594050003246,Richardsville,Mississippia,Venezuela,70267,2023/07/03,31-10-2024,31.0,738.44,Credit Card,,No,Bronze,5
1009,Joel,Roman,Male,62.0,haaschristopher@gmail.com,695.554.5642,Marshallfort,Maine,Italy,33095,2024/10/17,2025/04/05,12.0,2396.32,Credit Card,,,Platinum,7
1010,Blake,White,Male,,cynthiaespinoza@thompson.org,366-967-0878x90853,Moniqueside,New Mexicoa,Iceland,74433,12-May-2021,2025/04/05,30.0,,Bank Transfer,,No,Platinum,2
1011,Eric,Green,Female,,douglasrivera@gmail.com,522.686.6078,New Chad,Virginia,Saint Kitts and Nevis,65770,18-Apr-2021,14-02-2025,50.0,4925.55,Bank Transfer,Yes,No,Silver,2
1012,Amanda,Gomez,Male,40.0,dylan63@gmail.com,722-733-0843x54124,West Samantha,New Hampshirea,Martinique,90502,28-08-2021,27-07-2025,3.0,,Credit Card,,,Bronze,8
1013,Angela,Wright,Female,34.0,randy66@yahoo.com,1299116033186,North Deborahchester,Minnesota$,Libyan Arab Jamahiriya,,13-May-2021,20/02/2025,19.0,220.51,Credit Card,No,,Platinum,5
1014,Angela,Salazar,Male,63.0,stewartmargaret@hotmail.com,6983201382327,Kathrynview,Nevadaa,Honduras,94675,18-Jul-2025,21/10/2024,38.0,1832.24,Debit Card,,,Silver,9
1015,Jennifer,,Male,37.0,tara99@lawrence.com,+1-333-822-0192x380,Cynthiafort,North Dakotaa,Faroe Islands,,02-Sep-2023,24-05-2025,37.0,2765.24,PayPal,Yes,No,Gold,6
1016,Tammie,Richardson,Female,44.0,johnsonsheila@yahoo.com,+1-303-285-6785,Autumntown,Texas$,Honduras,44685,16-Sep-2021,27-09-2025,17.0,4460.87,Debit Card,Yes,,Bronze,5
1017,Marisa,Foster,,51.0,mary75@gmail.com,106.504.6359,Griffinside,Arkansas$,Chile,15886,03-08-2025,30/06/2025,28.0,3072.87,Debit Card,Yes,Yes,Bronze,seven
1018,Kristin,Dean,,70.0,kimlori@yahoo.com,1138118621479,West Catherinemouth,Vermonta,Jordan,28172,12-10-2021,2025/08/08,50.0,1877.77,Bank Transfer,,Yes,Platinum,seven
1019,John,Bates,Male,21.0,ojohnson@perez-hall.com,+1-351-229-9303x64795,Santosshire,South Carolina@,San Marino,45941,2023/12/21,2025/01/06,28.0,4639.2,PayPal,Yes,No,Bronze,10
1020,,Lopez,Female,,stewartmark@wang.info,(847)167-0936,Johnsonton,Hawaii$,Libyan Arab Jamahiriya,83968,2023/12/02,24-08-2025,5.0,3138.25,Bank Transfer,Yes,,Gold,9
1021,Pamela,,Male,61.0,jamessilva@sanders.net,5101843376,East Janice,Utah,Sweden,27162,10-10-2020,2025/04/11,49.0,3618.13,PayPal,Yes,,Bronze,7
1022,Jonathan,Tran,Male,59.0,garciajames@gmail.com,+1-900-927-7026x80941,Annahaven,West Virginia@,Cocos (Keeling) Islands,98004,24-Feb-2021,2025/02/20,7.0,3378.09,Credit Card,Yes,,Gold,8
1023,Kelly,Williams,,66.0,thomasdean@yahoo.com,+1-544-076-9070x82138,Lake Amber,Oregon@,South Georgia and the South Sandwich Islands,91545,18-09-2022,09/02/2025,20.0,2873.39,PayPal,Yes,No,Platinum,6
1024,Gregory,Anderson,Male,18.0,changalexandra@gmail.com,001-440-534-9183x5526,South Albertburgh,Minnesota@,Netherlands Antilles,04084,2023/04/02,30/11/2024,20.0,752.26,Debit Card,No,No,Platinum,4
1025,Matthew,Collins,,42.0,kimberly28@rice.com,(092)428-4290,Kimtown,Tennessee$,Andorra,96631,13-Jun-2023,2025/04/18,11.0,2407.86,Credit Card,Yes,Yes,Silver,9
1026,Karina,Anderson,,19.0,karaproctor@hill-barron.info,112.504.5945x49265,East Tony,Louisiana$,Guadeloupe,27018,2022/07/17,16/07/2025,15.0,3044.66,Credit Card,No,Yes,Bronze,4
1027,Michael,Burton,Female,54.0,ahamilton@@patel-hoffman.com,001-344-603-6455x9334,Janetchester,Mississippi$,Kazakhstan,83586,06-Jan-2024,28/05/2025,5.0,426.81,PayPal,Yes,No,Silver,5
1028,Kelly,Camacho,Female,20.0,kaylagalvan@richardson.info,3240823071073,East Whitneytown,Mainea,Swaziland,34761,2024/03/14,04/01/2025,23.0,196.84,Bank Transfer,No,,Silver,1
1029,Amy,Fitzgerald,,23.0,isingleton@hotmail.com,180.214.7813,Rachelfurt,Idaho,Micronesia,,26-12-2023,2025/07/13,36.0,4620.88,Credit Card,,,Platinum,4
1030,Blake,Tran,Female,51.0,albert55@alexander.com,629-789-0313x47031,Huynhburgh,Mississippi$,Saint Barthelemy,99187,2021/08/15,2025/09/17,16.0,2437.49,Bank Transfer,No,,Gold,3
1031,Stephen,Shaw,Male,29.0,brownandrea@@hotmail.com,+1-132-816-7683x407,Taylorfort,Nebraska$,Angola,55099,08-Jan-2025,06-01-2025,14.0,3045.26,Debit Card,Yes,,Platinum,seven
1032,,Gonzalez,Female,47.0,thomas79@@yahoo.com,+1-716-562-9590,Stacyhaven,Nebraska@,Seychelles,24931,09-Dec-2023,2025/08/20,18.0,3426.95,Credit Card,No,,Gold,5
1033,Amy,Wallace,Male,67.0,simmonstina@gilmore-cabrera.biz,+1-168-971-8236x8105,Patriciashire,South Carolina,Saint Martin,13150,2025/07/11,2025/05/30,31.0,2008.29,Debit Card,No,Yes,Silver,seven
1034,Sarah,Jackson,Female,69.0,gillamanda@yahoo.com,723.889.2691x59064,New Jane,Nevadaa,Somalia,49687,29-03-2025,20-01-2025,7.0,2501.91,PayPal,,No,Silver,5
1035,Shawn,Stokes,,30.0,brittany57@phillips.com,4938813194745,Tracyview,Missouri$,Tokelau,44032,2022/10/17,2024/11/28,3.0,4796.11,PayPal,,No,Gold,10
1036,Abigail,Navarro,,53.0,traci59@gray.org,082-887-3633x9837,West Richard,Indiana$,Netherlands,32931,18-01-2022,29/09/2025,49.0,2231.62,PayPal,Yes,,Silver,4
1037,Ashley,Barnes,,60.0,mhall@kemp-miller.com,1437842587359,Bryantborough,Coloradoa,Tanzania,92977,29-Sep-2022,12-10-2024,43.0,4921.02,Credit Card,No,Yes,Gold,7
1038,David,Williams,Male,28.0,suzannebell@massey.com,802.934.3569x13533,Mooremouth,Kentucky$,Gambia,92131,03-Sep-2022,2025/02/24,36.0,1864.86,Credit Card,No,,Gold,8
1039,Mark,Hampton,Male,18.0,wpierce@yahoo.com,839.373.0872,Port Christine,New Hampshirea,Ireland,56154,2024/07/03,08/10/2024,23.0,1601.88,PayPal,,Yes,Silver,10
1040,Marissa,Valencia,Male,23.0,allentonya@gmail.com,(247)900-7413x0623,Samanthamouth,Louisiana@,Lebanon,31028,28-Nov-2023,16-02-2025,34.0,172.85,PayPal,,Yes,Platinum,10
1041,Charles,Erickson,Female,55.0,ybailey@harris.com,604.033.2793,Elizabethmouth,Wisconsin,Central African Republic,20776,19-07-2021,21/05/2025,47.0,1299.3,Bank Transfer,No,,Silver,5
1042,Michele,Martinez,Male,40.0,jenniferblack@ross.com,5743960556818,Port John,Washington$,Saint Barthelemy,30913,14-Oct-2020,06-05-2025,9.0,2381.23,Debit Card,Yes,No,Platinum,4
1043,Danielle,Dudley,Female,35.0,reneemathis@hopkins-huffman.com,+1-915-573-4238,New Ryan,Iowa,Gambia,25866,2023/12/13,16-11-2024,2.0,4706.8,Debit Card,,Yes,Silver,4
1044,Brett,Miller,Female,49.0,rodney10@strickland.net,001-151-342-8890x39727,Lake Elizabeth,Wisconsin,Holy See (Vatican City State),20319,09-09-2021,19-04-2025,9.0,2404.34,Credit Card,Yes,No,Gold,9
1045,Kim,Campbell,,66.0,harrisonjeffrey@beck.org,319-240-1187x28690,Lake Amanda,Kansas$,Pitcairn Islands,01182,02-10-2023,16-06-2025,10.0,4030.4,Bank Transfer,Yes,,Bronze,10
